title,rank,date,artist,url,region,chart,trend,streams
Paredes - Ao Vivo,23,2017-03-01,Jorge & Mateus,https://open.spotify.com/track/2GfxgssRHvY1azHtaRqKoK,Brazil,top200,MOVE_DOWN,124642
Closer,24,2017-03-01,"The Chainsmokers, Halsey",https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Brazil,top200,SAME_POSITION,124137
Starboy,25,2017-03-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,Brazil,top200,MOVE_UP,122849
Paris,26,2017-03-01,The Chainsmokers,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,Brazil,top200,MOVE_UP,122045
Chantaje (feat. Maluma),27,2017-03-01,Shakira,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,Brazil,top200,MOVE_UP,114901
Let Me Love You,28,2017-03-01,"DJ Snake, Justin Bieber",https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,Brazil,top200,MOVE_UP,113714
Como Faz Com Ela - Ao Vivo,29,2017-03-01,MarÃ­lia MendonÃ§a,https://open.spotify.com/track/2Gvn46nwyQhUnQiFhlP7WX,Brazil,top200,MOVE_DOWN,113102
Homem de FamÃ­lia - Ao Vivo,30,2017-03-01,Gusttavo Lima,https://open.spotify.com/track/12wiyBZqQ3mOU7AfygXJCw,Brazil,top200,MOVE_DOWN,107116
Partiu,31,2017-03-01,MC Kekel,https://open.spotify.com/track/1LTxGBL6yKtfmW3K8EvbSY,Brazil,top200,MOVE_DOWN,104251
Don't Wanna Know,32,2017-03-01,"Maroon 5, Kendrick Lamar",https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,Brazil,top200,MOVE_UP,103641
O VerÃ£o EstÃ¡ Chegando,33,2017-03-01,Mc Davi,https://open.spotify.com/track/4jswhbcaGqFe8v5uSHlqyb,Brazil,top200,MOVE_DOWN,103459
